(E)2003-61@@http://dx.doi.org/10.1080/01650424.2011.597405@     ception trap/K. A. Jackson D. Carpenter BMNH{E}2003–61’’ (BMNH). Paratype: 1<, same
B.M. 1927-63@Pseudochironomous @http://dx.doi.org/10.1080/01650420902787556@     Museum (Natural History) (BMNH). A male, identiﬁed from a mixed sample, will
@@http://dx.doi.org/10.1080/00779962.2014.985418@     paratypes because they were damaged in the post on return to the NHM.
@@http://dx.doi.org/10.1080/00779962.2014.985418@     Thanks to Gavin Broad (NHM) and John Marris (LUNZ) for the loan of material. Thanks to
@@http://dx.doi.org/10.1080/00779962.1998.9722037@     BMNH Katural History Museum, London
@@http://dx.doi.org/10.1080/00779962.1998.9722037@     Broun Chatham Is Collection (BMNH).
@@http://dx.doi.org/10.1080/00779962.1998.9722037@     in the Broun Chatham Is Collection (BMNH), o r in NZAC.
@@http://dx.doi.org/10.1080/00779962.1998.9722037@                        s Broun Chatham Is Collection (BMNH) a n d NZAC. Oririnallv
@@http://dx.doi.org/10.1080/00779962.1998.9722037@                                                      Broun Chatham Is Collection (BMNH).
@@http://dx.doi.org/10.1080/00779962.1998.9722037@     (BMNH), collected o n Pitt I., presumed to be associated with sand dunes. Thotmus is a
@@http://dx.doi.org/10.1080/00779962.1998.9722037@     REMRI(S: Not represented in the Broun Chatham Is Collection (BMNH). This species has
@@http://dx.doi.org/10.1080/00779962.1998.9722037@     present in the Broun Chatham Is Collection (BMNH), or in other collections examined.
@@http://dx.doi.org/10.1080/00779962.2014.963910@     ral History Museum, London (NHML), NZAC, Lincoln University Entomology Research
@@http://dx.doi.org/10.1080/00779962.2014.963910@     Holotype (48 adults, 59 larvae; representative adults deposited in AMNZ, NHML, NZAC,
@@http://dx.doi.org/10.1080/00779962.2014.963910@     specimen in the BMNH that was labelled as the ‘type’ as lectotype, while nine remaining
@@http://dx.doi.org/10.1080/00779962.2014.963910@     tion were in the BMNH and one of these was selected as the lectotype. Other specimens
@@http://dx.doi.org/10.1080/00779962.2014.963910@     dated January 1912 in the BMNH and NZAC were not considered syntypical.
@@http://dx.doi.org/10.1080/00779962.2014.963910@     Type material examined. Hydora angusticollis. Lectotype (Here designated) (BMNH):
@@http://dx.doi.org/10.1080/00779962.2014.963910@     Lectotype (Here designated) (BMNH): card-mounted (male), ‘3515 [in Broun’s hand] //
@@http://dx.doi.org/10.1080/00779962.2014.963910@     Mus. 1922-482.’. Paralectotype (Here designated) (BMNH): card-mounted upside down,
@@http://dx.doi.org/10.1080/00779962.2014.963910@     [in Broun’s hand] // vestita [in Broun’s hand]’. Paralectotype (Here Designated) (BMNH):
@@http://dx.doi.org/10.1080/00779962.2014.963910@     Designated) (BMNH): card-mounted, ‘New Zealand [red underline] Broun Coll. Brit. Mus.
@@http://dx.doi.org/10.1080/00779962.2014.963910@     specimens were located in the BMNH matching this description (one was labelled from
@@http://dx.doi.org/10.1080/00779962.2014.963910@     Type material examined. Lectotype (Here Designated) (BMNH): card-mounted (female),
@@http://dx.doi.org/10.1080/00779962.2014.963910@     (Here Designated) (BMNH): card-mounted, ‘3516 [in Broun’s hand] // New Zealand [red
@@http://dx.doi.org/10.1080/00779962.2014.963910@     Paralectotype (Here Designated) (BMNH): remounted venter-up with extracted genitalia
@@http://dx.doi.org/10.1080/00779962.2014.963910@     located in the BMNH matching this description and was designated as the lectotype.
@@http://dx.doi.org/10.1080/00779962.2014.963910@     Type material examined. Lectotype (Here Designated) (BMNH): card-mounted (abdomen
@@http://dx.doi.org/10.1080/00779962.2014.963910@     located in the BMNH matching this description (another with a label Otago [printed]) was
@@http://dx.doi.org/10.1080/00779962.2014.963910@     Type material examined. Lectotype (Here Designated) (BMNH): remounted on card with
@@http://dx.doi.org/10.1080/00779962.2014.963910@     in the BMNH with syntype labels, one had a printed label as ‘Wellington’ which was
@@http://dx.doi.org/10.1080/00779962.2014.963910@     Type material examined. Lectotype (Here Designated) (BMNH): remounted on new card
@@http://dx.doi.org/10.1080/00779962.2014.963910@     (BMNH): 2 specimens mounted on old acetate strip with green base, ‘SYN-TYPE [round
@@http://dx.doi.org/10.1080/00779962.2014.963910@     Campbell. The two specimens in the BMNH did not have syntype or Broun’s typical
@@http://dx.doi.org/10.1080/00779962.2014.963910@     as syntypes, despite one of them having the wrong BMNH accession label and are not
@@http://dx.doi.org/10.1080/00779962.2014.963910@     Type material examined. Lectotype (Here Designated) (BMNH): card-mounted (male with
@@http://dx.doi.org/10.1080/00779962.2014.963910@     [in Broun’s hand]’. Paralectotype (Here Designated) (BMNH): card-mounted and lacking
@@http://dx.doi.org/10.1080/00779962.2014.963910@     imens of Stetholus elongatus Carter and Zeck for comparisons. Michael Geiser (BMNH) assisted
@@http://dx.doi.org/10.1080/00779962.2014.963910@     in BMNH type material and Hermes Escalona (ANIC) sent us an image of Hydora laticeps. This
@@http://dx.doi.org/10.1080/00779962.2012.758028@     Forster 1948; Oliver 1948; Salmon 1948; Brook                    History Museum, London (NHML) by T Théry.
@@http://dx.doi.org/10.1080/00779962.2012.758028@     types at the NHML, most of the species appear to be
@@http://dx.doi.org/10.1080/00779962.2012.758028@     litter and rotten wood, T Buckley, R Leschen,             (NHML) for assisting TT during his visits at
@@http://dx.doi.org/10.1080/00779962.2012.758028@     TH053, 34◦ 09 733 172◦ 08 610 ; 18 ex., THREE       BMNH, Gilbert Hodebert (Muséum National d’Histoire
@@http://dx.doi.org/10.1080/00779962.2012.649706@     (BMNH). In total, 145 specimens of C. triregia                2.5 mm . . . . . . Cryptamorpha triregia sp. n.
@@http://dx.doi.org/10.1080/00779962.2012.649706@     jidae (Watt et al. 2001) and Anthribidae (Holloway       Holotype, sex unknown (BMNH): glued on
@@http://dx.doi.org/10.1080/00779962.2012.649706@     Parabrontes sylvanoides Redtenbacher, 1868: 40           Holotype, female (BMNH): glued on card
@@http://dx.doi.org/10.1080/00779962.2012.649706@     (BMNH): glued to card triangle, antennae broken;
@@http://dx.doi.org/10.1080/00779962.2012.649706@          Paralectotype, sex unknown (BMNH): glued        point of eye, subparallel (Fig. 17). Antennae uni-
@@http://dx.doi.org/10.1080/00779962.2012.649706@          Paralectotype, sex unknown (BMNH): double-      stout setae on shaft; phallobase shorter than the
@@http://dx.doi.org/10.1080/00779962.2012.649706@     (BMNH): glued on card rectangle, antennae bro-
@@http://dx.doi.org/10.1080/00779962.2012.649706@         Paralectotype, sex unknown (BMNH): pinned          Eucalyptus sp., Freycinetia sp., Gahnia setifolia,
@@http://dx.doi.org/10.1080/00779962.2012.649706@     Booth helped R.A.B.L. during a visit at the BMNH.              book of Zoology, Coleoptera, Vol. 2. Morphol-
@@http://dx.doi.org/10.1080/00779962.2011.9722209@     Australia; BMNH, Natural History Museum, London, UK;                    mechanoreceptor. Mouthparts directed downwards, no longer
@@http://dx.doi.org/10.1080/00779962.2011.9722209@                   xi., xii.1922, iii.1923’ collected by T.R. Harris (BMNH).
@@http://dx.doi.org/10.1080/00779962.2011.9722212@     BMNH: British Museum (Natural History), London, UK                          from the vegetation: genera whose species are monophagous or
@@http://dx.doi.org/10.1080/00779962.2011.9722212@     Meyrick’s types in the BMNH. Lepidoscia is currently something           2, Ericodesma argentosa, E. scruposa, Paramorpha species
@@http://dx.doi.org/10.1080/00779962.2012.759084@   Museum, Lincoln University; NHM, Natural His-
@@http://dx.doi.org/10.1080/00779962.2012.759084@     2–10/12/1980, MF Toucher, pan trap amongst              now been deposited into ANIC, NHM, USNM,
@@http://dx.doi.org/10.1080/00779962.1999.9722049@     Canberra. BMNH:The Natural History Museum,               and/or III and/or IV; pair present on abdominal
@@http://dx.doi.org/10.1080/00779962.1999.9722049@         BMNH).                                                 aristoteliae, C. canberrae,A. platylobii); and the frontal
@@http://dx.doi.org/10.1080/00779962.2012.649705@     on the prosternum. Further study of the Picro-              Some of the Broun material in the BMNH
@@http://dx.doi.org/10.1080/00779962.2012.649705@     History Museum, London, UK (BMNH, Roger                    Agnetaria cryptophagoides Bruce 1953: 790
@@http://dx.doi.org/10.1080/00779962.2012.649705@     females are deposited in the BMNH and were                Type species. Cryptophagus fossulata Bruce,
@@http://dx.doi.org/10.1080/00779962.2012.649705@     Type material examined. Holotype (BMNH):              tions to elevate the subgenus Brounina to generic
@@http://dx.doi.org/10.1080/00779962.2012.649705@  located in the BMNH. Broun (1893b) also men-
@@http://dx.doi.org/10.1080/00779962.2012.649705@     sus and portion of right metatarsus missing),         Type material examined. Holotype (BMNH):
@@http://dx.doi.org/10.1080/00779962.2012.649705@     Type material examined. Holotype (DEI): male,           located in the BMNH and probably originated from
@@http://dx.doi.org/10.1080/00779962.2012.649705@     25.1.38 [handwritten]/ Holotypus [red label] /          Type material examined. Lectotype (BMNH):
@@http://dx.doi.org/10.1080/00779962.2012.649705@        Chiliotis: Grouvelle 1919b: 170                      Paralectotypes: 3 (BMNH) same as lectotype apart
@@http://dx.doi.org/10.1080/00779962.2012.649705@     found in MNHN and two were found in BMNH.
@@http://dx.doi.org/10.1080/00779962.2012.649705@     designated by R.A.B. Leschen, 2010 Chiliotis            (1919b) were located in the BMNH, as stated in the
@@http://dx.doi.org/10.1080/00779962.2012.649705@     exilis Grouvelle, 1919 [blue label]’; 2 (BMNH),         original publication.
@@http://dx.doi.org/10.1080/00779962.2012.649705@     2 specimens card-mounted on same card, ‘Type            Type material examined. Holotype (BMNH):
@@http://dx.doi.org/10.1080/00779962.2012.649705@     Paratype: 1 (BMNH), same as holotype but lack-            was designated from this material.
@@http://dx.doi.org/10.1080/00779962.2012.649705@     Chiliotis gracilis Grouv [handwritten on light olive-     1 (BMNH), mounted on square card, triangular
@@http://dx.doi.org/10.1080/00779962.2012.649705@     collection and the BMNH; ﬁve specimens were               Redtenbacher, 1868 [red label]’.
@@http://dx.doi.org/10.1080/00779962.2012.649705@     mined to be males) and one located in the BMNH            ‘Cryptophagus’ amoenus Broun, 1912
@@http://dx.doi.org/10.1080/00779962.2012.649705@     Two specimens were located in the BMNH. One of
@@http://dx.doi.org/10.1080/00779962.2012.649705@     name in the BMNH and the generic label may have          segmented club. Blackburn (1891) did not mention
@@http://dx.doi.org/10.1080/00779962.2012.649705@     single syntype was located in the BMNH. In order
@@http://dx.doi.org/10.1080/00779962.2012.649705@     Type material examined. Holotype (BMNH):                 designated as a lectotype.
@@http://dx.doi.org/10.1080/00779962.2012.649705@     ‘3229 [handwritten] / New Zealand [underlined            Type material examined. Lectotype (BMNH):
@@http://dx.doi.org/10.1080/00779962.2012.649705@     and connate abdominal ventrites 1 and 2. This is         specimen was located in the BMNH. The species
@@http://dx.doi.org/10.1080/00779962.2012.649705@     Type material examined. Holotype (BMNH):
@@http://dx.doi.org/10.1080/00779962.2012.649705@     BMNH (with handwritten labels by Blackburn). In
@@http://dx.doi.org/10.1080/00779962.2012.649705@     Type material examined. Lectotype (BMNH):
@@http://dx.doi.org/10.1080/00779962.2012.649705@     label]’. Paralectotype: 1 (BMNH), mounted on             Type locality. Tasmania, Australia.
@@http://dx.doi.org/10.1080/00779962.2012.649705@     in the BMNH on two pins. A label bearing a note         Type material examined. Holotype (NHRS):
@@http://dx.doi.org/10.1080/00779962.2012.649705@     Type material examined. Lectotype (BMNH):               CRYPTOTHELYPTERUS Leschen and
@@http://dx.doi.org/10.1080/00779962.2012.649705@     [red label]’. Paralectotypes (BMNH): 1, mounted             Cryptothelypterus atomaroides [sic]: Leschen
@@http://dx.doi.org/10.1080/00779962.2012.649705@     / Mnionomus splendens n. sp. [handwritten]         imens from the BMNH and his personal collection.
@@http://dx.doi.org/10.1080/00779962.2012.649705@     Leschen, 2010 Micrambina basalis Grouvelle,            Broun’s species were located in the BMNH, though
@@http://dx.doi.org/10.1080/00779962.2012.649705@     1919 [blue label]’; 2 (BMNH), card-mounted (left       he states that ‘I have four examples before me, three
@@http://dx.doi.org/10.1080/00779962.2012.649705@     written on underside] [round powder-blue label] /      in the BMNH, the latter designated as lectotype in
@@http://dx.doi.org/10.1080/00779962.2012.649705@         Cryptophagus discoideus Broun 1893b: 1345          Cryptophagus rubellus: Lectotype (BMNH): male,
@@http://dx.doi.org/10.1080/00779962.2012.649705@     BMNH and most of the antennal segments were            [red line beneath New Zealand] / Cryptophags
@@http://dx.doi.org/10.1080/00779962.2012.649705@     Type material examined. Holotype (BMNH):
@@http://dx.doi.org/10.1080/00779962.2012.649705@     onymized with Micrambina insignis Reitter by            Waikato, but only two are present in the BMNH. In
@@http://dx.doi.org/10.1080/00779962.2012.649705@         Micrambina insignis: Broun 1910: 25                 Type material examined. Lectotype (BMNH):
@@http://dx.doi.org/10.1080/00779962.2012.649705@     Note. We were sent one specimen of Micrambina           label]’. Paralectotype (BMNH): same but ‘Ohaupo
@@http://dx.doi.org/10.1080/00779962.2012.649705@     located in the BMNH, but according to Broun there            Cryptophagus rutilus Broun 1880: 226
@@http://dx.doi.org/10.1080/00779962.2012.649705@     mounted separately (head and prothorax missing),        BMNH) and transferred them to ‘Cr. hispidulus’.
@@http://dx.doi.org/10.1080/00779962.2012.649705@     ‘Now. Zealand Helms Reitter [label with black           Type material examined. Holotype (BMNH):
@@http://dx.doi.org/10.1080/00779962.2012.649705@     label]’. Cryptophagus vestitus: lectotype (BMNH):       / Cryptophags rutilus [handwritten] / HOLOTYPE
